text,ipa
abstraction,æbˈstrækʃən
access,ˈækˌsɛs
acid,ˈæsəd
active,ˈæktɪv
activity,ækˈtɪvɪti
address,ˈæˌdrɛs
admin,ˈædmɪn
after,ˈæftər
agile,ˈæʤəl
algorithm,ˈælgərˌɪðəm
all,ɔl
alter,ˈɔltər
android,ˈænˌdrɔɪd
arpanet,ˈɑrpəˌnɛt
array,əˈreɪ
artifact,ˈɑrtəˌfækt
as,ɛz
assembly,əˈsɛmbli
assertion,əˈsərʃən
attack,əˈtæk
authentication,ɔˌθɛntəˈkeɪʃən
authorization,ˌɔθərəˈzeɪʃən
auto,ˈɔtoʊ
await,əˈweɪt
backend,ˈbækˌɛnd
backlog,ˈbæˌklɔg
backup,ˈbæˌkəp
basic,ˈbeɪsɪk
batch,bæʧ
begin,bɪˈgɪn
binary,ˈbaɪnəri
bios,baɪoʊs
bridge,brɪʤ
broadcast,ˈbrɔdˌkæst
broker,ˈbroʊkər
browser,ˈbraʊzər
bus,bəs
by,baɪ
cable,ˈkeɪbəl
cache,kæʃ
cascade,kæˈskeɪd
case,keɪs
cassandra,kəˈsændrə
certificate,sərˈtɪfɪkət
channels,ˈʧænəlz
check,ʧɛk
cipher,ˈsaɪfər
classification,ˌklæsəfəˈkeɪʃən
client,ˈklaɪənt
clock,klɑk
closure,ˈkloʊʒər
cluster,ˈklʌstər
clustering,ˈklʌstərɪŋ
coaxial,ˈkoʊˈæksiəl
cohesion,koʊˈhiʒən
column,ˈkɑləm
command,kəˈmænd
commit,kəˈmɪt
compiler,kəmˈpaɪlər
computer,kəmˈpjutər
configuration,kənˌfɪgjərˈeɪʃən
console,ˈkɑnsoʊl
constraint,kənˈstreɪnt
container,kənˈteɪnər
continuous,kənˈtɪnjuəs
control,kənˈtroʊl
controller,kənˈtroʊlər
cookie,ˈkʊki
corruption,kərˈəpʃən
count,kaʊnt
coverage,ˈkəvərɪʤ
create,kriˈeɪt
cross,krɔs
cursor,ˈkərsər
custom,ˈkəstəm
cypress,ˈsaɪprɪs
daemon,ˈdimən
data,ˈdætə
database,ˈdeɪtəˌbeɪs
dataset,ˈdeɪtəˌsɛt
deadlock,ˈdɛˌdlɑk
decorator,ˈdɛkərˌeɪtər
decoupling,diˈkəplɪŋ
deep learning,dip ˈlərnɪŋ
default,dɪˈfɔlt
delete,dɪˈlit
deploy,dɪˈplɔɪ
deployment,dɪˈplɔɪmənt
device,dɪˈvaɪs
directory,dɪˈrɛktəri
disable,dɪˈseɪbəl
display,dɪˈspleɪ
distinct,dɪˈstɪŋkt
docker,ˈdɒkər
document,ˈdɑkjəmɛnt
documentation,ˌdɑkjəmɛnˈteɪʃən
domain,doʊˈmeɪn
driver,ˈdraɪvər
drop,drɔp
duplex,ˈduˌplɛks
dynamic,daɪˈnæmɪk
debug,diˈbʌɡ
egress,ɪˈgrɛs
email,iˈmeɪl
empty,ˈɛmti
enable,ɪˈneɪbəl
encryption,ɪnˈkrɪpʃən
endpoint,ˈɛndˌpɔɪnt
epoch,ˈɛpək
erase,ɪˈreɪs
ethernet,ˈiθərˌnɛt
exception,ɪkˈsɛpʃən
exists,ɪgˈzɪsts
exploit,ˌɛkˈsplɔɪt
export,ˈɛkspɔrt
false,fɔls
fiber,ˈfaɪbər
filter,ˈfɪltər
firewall,ˈfaɪərˌwɔl
fixture,ˈfɪksʧər
flood,fləd
flutter,ˈflətər
foreign,ˈfɔrən
forwarding,ˈfɔrwərdɪŋ
fragment,ˈfrægmənt
frames,freɪmz
framework,ˈfreɪmwɜrk
frequency,ˈfrikwənsi
from,frəm
function,ˈfʌŋkʃən
gateway,ˈɡeɪtweɪ
generator,ˈʤɛnərˌeɪtər
generic,ʤəˈnɛrɪk
global,ˈgloʊbəl
gradient,ˈgreɪdiənt
graph,græf
hash,hæʃ
hash table,hæʃ ˈteɪbəl
hashing,ˈhæʃɪŋ
having,ˈhævɪŋ
heap,hip
host,hoʊst
hub,həb
hybrid,ˈhaɪbrɪd
identity,aɪˈdɛntəˌti
image,ˈɪmɪʤ
in,ɪn
increment,ˈɪnkrəmənt
index,ˈɪndɛks
indexing,ˈɪndɛksɪŋ
inference,ˈɪnfərəns
infrastructure,ˌɪnfrəˈstrəkʧər
inheritance,ˌɪnˈhɛrətəns
inner,ˈɪnər
insert,ˌɪnˈsərt
instance,ˈɪnstəns
integration,ˌɪnəˈgreɪʃən
integrity,ˌɪnˈtɛgrəti
